v1.1
1 رمشة
بلاد 2
بحر حبر ربح حرب 1 
غريب رغيب 1
عسر سعر عرس 1
عشب شعب 0
يمرح يحرم حريم 3
أبيض 1
كلمة لكمة ملكة 2
أسود 1
أحمر 1
أخضر 1
أصفر 1
أزرق 1
كتاب 1
دفتر 1
مجلة 1
هاتف تافه 1
قهوة 1
شوكة 1
سكين 1
ساعة 1
دقيق 1
عطلة 1
رخيص 1
حزين 1
غاضب 1
سعيد 1
مُتعب 1
جائع 1
جميل 1
واحد 1
سبعة 1
تسعة 1
عشرة 1
قبيح 1
نحيل 1
سمين 1
قصير 1
طويل 1
بارد 1
ساخن 1
صديق 1
زواج 1
طلاق 1
يمين 1
يسار 1
أمام 1
شركة 1
مدير 1
موظف 1
بائع 1
زبون 1
مريض 1
ابنة 1
عجوز 1
غرفة 1
مطبخ 1
حمام 1
شباك 1
كرسي 1
سرير 1
حائط 1
لوحة 1
ساعة 1
قرية 1
طعام 1
مطعم 1
فندق 1
مساء 1
شارع شاعر 1
اثنان 1
ثلاثة 1
أربعة 1
خمسة 1
رمادي 1
رواية 1
تلفاز 1
جريدة 1
ملعقة 1
دقيقة 1
ثانية 1
أسبوع 1
علاقة 1
خطوبة 1
ممنوع 1
مسموح 1
مواطن 1
إسعاف 1
امرأة 1
طاولة 1
عاصمة 1
مدينة 1
حديقة 1
شجرة 1
طائرة 1
سيارة 1
